Time X U
0.000000000000000000e+00 1.000000000000000000e+01 -1.000000000000000000e+00
1.000000000000000000e+00 8.900000000000000355e+00 -1.000000000000000000e+00
2.000000000000000000e+00 7.910000000000000142e+00 -1.000000000000000000e+00
3.000000000000000000e+00 7.019000000000001016e+00 -1.000000000000000000e+00
4.000000000000000000e+00 6.217100000000001181e+00 -1.000000000000000000e+00
5.000000000000000000e+00 5.495390000000001329e+00 -1.000000000000000000e+00
6.000000000000000000e+00 4.845851000000001463e+00 -1.000000000000000000e+00
7.000000000000000000e+00 4.261265900000001494e+00 -1.000000000000000000e+00
8.000000000000000000e+00 3.735139310000001434e+00 -1.000000000000000000e+00
9.000000000000000000e+00 3.261625379000001157e+00 -1.000000000000000000e+00
1.000000000000000000e+01 2.835462841100000908e+00 -1.000000000000000000e+00
1.100000000000000000e+01 2.451916556990000995e+00 -1.000000000000000000e+00
1.200000000000000000e+01 2.106724901291000762e+00 -1.000000000000000000e+00
1.300000000000000000e+01 1.796052411161900730e+00 -1.000000000000000000e+00
1.400000000000000000e+01 1.516447170045710502e+00 -9.098683020274263011e-01
1.500000000000000000e+01 1.273815622838396999e+00 -7.642893737030381773e-01
